SNP500
2540.86
2547.44
2551.39
2549.99
2550.62
2552.88
2555.66
2555.57
2557.17
2562.87
2553.39
2567.56
2578.08
2568.66
2566.52
2560.08
2570.26
2577.75
2575.99
2583.21
2579.46
2581.93
2587.47
2592.11
2588.71
2584
2580.18
2576.53
2577.75
2569.45
2572.95
2582.94
2579.49
2589.17
2600.31
2600.42
2602.66
2605.94
2627.82
2633.93
2645.1
2657.19
2639.78
2626.24
2628.38
2646.21
2652.19
2661.73
2667.59
2665.87
2660.63
2685.92
2692.71
2688.18
2683.02
2684.22
2679.09
2682.1
2686.1
2689.15
2683.73
2697.85
2719.31
2731.33
2742.67
2751.15
2745.55
2752.97
2770.18
2798.96
2784.99
2802.4
2802.6
2809.16
2835.05
2845.42
2846.24
2847.48
2867.23
2832.74
2832.41
2816.45
2808.92
2741.06
2614.78
2690.95
2685.01
2601.78
2636.75
2646.27
2651.21
2713.46
2727.14
2722.99
2720.53
2710.42
2715.8
2757.37
2780.45
2753.78
2715.22
2658.89
2681.06
2730.18
2710.18
2732.75
2752.91
2790.54
2792.31
2774.06
2754.27
2750.57
2741.38
2715.05
2714.99
2691.36
2646.71
2619.35
2667.57
2611.3
2614.41
2633.45
2592.17
2584.04
2657.36
2645.82
2617.18
2638.41
2643.89
2653.83
2676.9
2670.1
2692.74
2710.11
2701.16
2692.56
2675.4
2680.8
2634.92
2651.65
2675.47
2682.51
2642.96
2654.24
2628.08
2621.45
2680.34
2670.26
2678.12
2705.02
2722.7
2738.47
2718.59
2712.62
2719.71
2717.35
2735.39
2738.34
2713.98
2730.94
2723.6
2705.11
2702.43
2720.98
2718.7
2741.67
2748.46
2753.25
2774.84
2765.84
2780.18
2785.6
2787.94
2783.21
2777.78
2765.79
2752.01
2769.73
2769.28
2760.79
2742.94
2722.12
2728.45
2698.69
2727.13
2704.95
2733.27
2724.19
2737.68
2775.62
2788.56
2779.82
2783.14
2796.93
2797.36
2789.34
2811.35
2809.37
2804.55
2799.17
2820.68
2817.73
2835.49
2842.35
2819
2809.73
2821.17
2800.48
2829.62
2840.29
2855.92
2856.79
2857.19
2838.9
2835.46
2827.88
2827.95
2831.44
2838.32
2853.93
2861.51
2860.99
2860.29
2862.35
2884.69
2901.45
2900.62
2908.94
2898.37
2896.96
2891.59
2888.64
2868.26
2881.39
2871.57
2888.29
2896.85
2906.38
2903.83
2890.74
2906.6
2919.73
2936.76
2921.83
2921.75
2916.98
2911.65
2910.03
2926.29
2923.8
2931.69
2919.35
